a; sk;
aby; sk;
aj; sk;
ak; sk;
ako; sk;
ale; sk;
alebo; sk;
and; sk;
ani; sk;
ano; sk;
asi; sk;
az; sk;
bez; sk;
bude; sk;
budem; sk;
budes; sk;
budeme; sk;
budete; sk;
budu; sk;
by; sk;
bol; sk;
bola; sk;
boli; sk;
bolo; sk;
byt; sk;
cez; sk;
co; sk;
ci; sk;
dalsi; sk;
dalsia; sk;
dalsie; sk;
dnes; sk;
do; sk;
ho; sk;
este; sk;
for; sk;
i; sk;
ja; sk;
je; sk;
jeho; sk;
jej; sk;
ich; sk;
iba; sk;
ine; sk;
iny; sk;
som; sk;
si; sk;
sme; sk;
su; sk;
k; sk;
kam; sk;
kazdy; sk;
kazda; sk;
kazde; sk;
kazdi; sk;
kde; sk;
ked; sk;
kto; sk;
ktora; sk;
ktore; sk;
ktorou; sk;
ktory; sk;
ktori; sk;
ku; sk;
lebo; sk;
len; sk;
ma; sk;
mat; sk;
ma; sk;
mate; sk;
medzi; sk;
mi; sk;
mna; sk;
mne; sk;
mnou; sk;
musiet; sk;
moct; sk;
moj; sk;
moze; sk;
my; sk;
na; sk;
nad; sk;
nam; sk;
nas; sk;
nasi; sk;
nie; sk;
nech; sk;
nez; sk;
nic; sk;
niektory; sk;
nove; sk;
novy; sk;
nova; sk;
nove; sk;
novi; sk;
o; sk;
od; sk;
odo; sk;
of; sk;
on; sk;
ona; sk;
ono; sk;
oni; sk;
ony; sk;
po; sk;
pod; sk;
podla; sk;
pokial; sk;
potom; sk;
prave; sk;
pre; sk;
preco; sk;
preto; sk;
pretoze; sk;
prvy; sk;
prva; sk;
prve; sk;
prvi; sk;
pred; sk;
predo; sk;
pri; sk;
pyta; sk;
s; sk;
sa; sk;
so; sk;
si; sk;
svoje; sk;
svoj; sk;
svojich; sk;
svojim; sk;
svojimi; sk;
ta; sk;
tak; sk;
takze; sk;
tato; sk;
teda; sk;
te; sk;
te; sk;
ten; sk;
tento; sk;
the; sk;
tieto; sk;
tym; sk;
tymto; sk;
tiez; sk;
to; sk;
toto; sk;
toho; sk;
tohoto; sk;
tom; sk;
tomto; sk;
tomuto; sk;
toto; sk;
tu; sk;
tu; sk;
tuto; sk;
tvoj; sk;
ty; sk;
tvojimi; sk;
uz; sk;
v; sk;
vam; sk;
vas; sk;
vase; sk;
vo; sk;
viac; sk;
vsak; sk;
vsetok; sk;
vy; sk;
z; sk;
za; sk;
zo; sk;
ze; sk;
peter; sk;
a; cz;
aby; cz;
aj; cz;
ale; cz;
anebo; cz;
ani; cz;
aniz; cz;
ano; cz;
asi; cz;
avska; cz;
az; cz;
ba; cz;
bez; cz;
bude; cz;
budem; cz;
budes; cz;
by; cz;
byl; cz;
byla; cz;
byli; cz;
bylo; cz;
byt; cz;
ci; cz;
clanek; cz;
clanku; cz;
clanky; cz;
co; cz;
com; cz;
coz; cz;
cz; cz;
dalsi; cz;
dnes; cz;
do; cz;
email; cz;
ho; cz;
i; cz;
jak; cz;
jake; cz;
jako; cz;
je; cz;
jeho; cz;
jej; cz;
jeji; cz;
jejich; cz;
jen; cz;
jeste; cz;
jenz; cz;
ji; cz;
jine; cz;
jiz; cz;
jsem; cz;
jses; cz;
jsi; cz;
jsme; cz;
jsou; cz;
jste; cz;
k; cz;
kam; cz;
kde; cz;
kdo; cz;
kdyz; cz;
ke; cz;
ktera; cz;
ktere; cz;
kteri; cz;
kterou; cz;
ktery; cz;
ku; cz;
ma; cz;
mate; cz;
me; cz;
mezi; cz;
mi; cz;
mit; cz;
mne; cz;
mnou; cz;
muj; cz;
muze; cz;
my; cz;
na; cz;
nad; cz;
nam; cz;
nas; cz;
nasi; cz;
ne; cz;
nebo; cz;
nebot; cz;
necht; cz;
nejsou; cz;
není; cz;
neni; cz;
net; cz;
nez; cz;
ni; cz;
nic; cz;
nove; cz;
novy; cz;
nybrz; cz;
o; cz;
od; cz;
ode; cz;
on; cz;
org; cz;
pak; cz;
po; cz;
pod; cz;
podle; cz;
pokud; cz;
pouze; cz;
prave; cz;
pred; cz;
pres; cz;
pri; cz;
pro; cz;
proc; cz;
proto; cz;
protoze; cz;
prvni; cz;
pta; cz;
re; cz;
s; cz;
se; cz;
si; cz;
sice; cz;
spol; cz;
strana; cz;
sve; cz;
svuj; cz;
svych; cz;
svym; cz;
svymi; cz;
ta; cz;
tak; cz;
take; cz;
takze; cz;
tamhle; cz;
tato; cz;
tedy; cz;
tema; cz;
te; cz;
ten; cz;
tedy; cz;
tento; cz;
teto; cz;
tim; cz;
timto; cz;
tipy; cz;
to; cz;
tohle; cz;
toho; cz;
tohoto; cz;
tom; cz;
tomto; cz;
tomuto; cz;
totiz; cz;
tu; cz;
tudiz; cz;
tuto; cz;
tvuj; cz;
ty; cz;
tyto; cz;
u; cz;
uz; cz;
v; cz;
vam; cz;
vas; cz;
vas; cz;
vase; cz;
ve; cz;
vedle; cz;
vice; cz;
vsak; cz;
vsechen; cz;
vy; cz;
vzdyt; cz;
z; cz;
za; cz;
zda; cz;
zde; cz;
ze; cz;
zpet; cz;
zpravy; cz;
a; en;
about; en;
above; en;
after; en;
again; en;
against; en;
all; en;
am; en;
an; en;
and; en;
any; en;
are; en;
aren't; en;
as; en;
at; en;
be; en;
because; en;
been; en;
before; en;
being; en;
below; en;
between; en;
both; en;
but; en;
by; en;
can't; en;
cannot; en;
could; en;
couldn't; en;
did; en;
didn't; en;
do; en;
does; en;
doesn't; en;
doing; en;
don't; en;
down; en;
during; en;
each; en;
few; en;
for; en;
from; en;
further; en;
had; en;
hadn't; en;
has; en;
hasn't; en;
have; en;
haven't; en;
having; en;
he; en;
he'd; en;
he'll; en;
he's; en;
her; en;
here; en;
here's; en;
hers; en;
herself; en;
him; en;
himself; en;
his; en;
how; en;
how's; en;
i; en;
i'd; en;
i'll; en;
i'm; en;
i've; en;
if; en;
in; en;
into; en;
is; en;
isn't; en;
it; en;
it's; en;
its; en;
itself; en;
let's; en;
me; en;
more; en;
most; en;
mustn't; en;
my; en;
myself; en;
no; en;
nor; en;
not; en;
of; en;
off; en;
on; en;
once; en;
only; en;
or; en;
other; en;
ought; en;
our; en;
ours; en;
ourselves; en;
out; en;
over; en;
own; en;
same; en;
shan't; en;
she; en;
she'd; en;
she'll; en;
she's; en;
should; en;
shouldn't; en;
so; en;
some; en;
such; en;
than; en;
that; en;
that's; en;
the; en;
their; en;
theirs; en;
them; en;
themselves; en;
then; en;
there; en;
there's; en;
these; en;
they; en;
they'd; en;
they'll; en;
they're; en;
they've; en;
this; en;
those; en;
through; en;
to; en;
too; en;
under; en;
until; en;
up; en;
very; en;
was; en;
wasn't; en;
we; en;
we'd; en;
we'll; en;
we're; en;
we've; en;
were; en;
weren't; en;
what; en;
what's; en;
when; en;
when's; en;
where; en;
where's; en;
which; en;
while; en;
who; en;
who's; en;
whom; en;
why; en;
why's; en;
with; en;
won't; en;
would; en;
wouldn't; en;
you; en;
you'd; en;
you'll; en;
you're; en;
you've; en;
your; en;
yours; en;
yourself; en;
yourselves; en;
